Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:17:15.787000,RIC,3,0 days 00:01:44.986000,1.0,1.0,0 days 00:15:31.552000,,0 days 00:00:28.094000,0 days 00:00:45.327000,0 days 00:00:31.565000,0 days 00:15:58.916000,0 days 00:16:44.272000,0 days 00:17:15.924000,169.0,151.0,257.0,260.0,False,HARD,1.0,True,McLaren,0 days 00:15:31.552000,2021-05-20 09:30:31.560,1,,False,,False,False
0 days 00:18:38.048000,RIC,3,0 days 00:01:22.261000,2.0,1.0,,,0 days 00:00:22.147000,0 days 00:00:38.252000,0 days 00:00:21.862000,0 days 00:17:37.934000,0 days 00:18:16.186000,0 days 00:18:38.048000,187.0,178.0,265.0,276.0,True,HARD,2.0,True,McLaren,0 days 00:17:15.787000,2021-05-20 09:32:15.795,1,,False,,False,True
0 days 00:20:05.615000,RIC,3,0 days 00:01:27.567000,3.0,1.0,,,0 days 00:00:21.118000,0 days 00:00:40.334000,0 days 00:00:26.115000,0 days 00:18:59.166000,0 days 00:19:39.500000,0 days 00:20:05.615000,181.0,140.0,264.0,280.0,False,HARD,3.0,True,McLaren,0 days 00:18:38.048000,2021-05-20 09:33:38.056,1,,False,,False,True
0 days 00:21:23.733000,RIC,3,0 days 00:01:18.118000,4.0,1.0,,,0 days 00:00:20.523000,0 days 00:00:36.414000,0 days 00:00:21.181000,0 days 00:20:26.138000,0 days 00:21:02.552000,0 days 00:21:23.733000,202.0,186.0,257.0,278.0,True,HARD,4.0,True,McLaren,0 days 00:20:05.615000,2021-05-20 09:35:05.623,1,,False,,False,True
0 days 00:22:58.889000,RIC,3,0 days 00:01:35.156000,5.0,1.0,,,0 days 00:00:28.018000,0 days 00:00:41.402000,0 days 00:00:25.736000,0 days 00:21:51.751000,0 days 00:22:33.153000,0 days 00:22:58.889000,158.0,173.0,265.0,268.0,False,HARD,5.0,True,McLaren,0 days 00:21:23.733000,2021-05-20 09:36:23.741,1,,False,,False,True
0 days 00:24:15.670000,RIC,3,0 days 00:01:16.781000,6.0,1.0,,,0 days 00:00:20.446000,0 days 00:00:35.826000,0 days 00:00:20.509000,0 days 00:23:19.335000,0 days 00:23:55.161000,0 days 00:24:15.670000,205.0,192.0,269.0,279.0,True,HARD,6.0,True,McLaren,0 days 00:22:58.889000,2021-05-20 09:37:58.897,1,,False,,False,True
0 days 00:25:38.169000,RIC,3,0 days 00:01:22.499000,7.0,1.0,,,0 days 00:00:21.634000,0 days 00:00:37.847000,0 days 00:00:23.018000,0 days 00:24:37.304000,0 days 00:25:15.151000,0 days 00:25:38.169000,189.0,185.0,265.0,266.0,False,HARD,7.0,True,McLaren,0 days 00:24:15.670000,2021-05-20 09:39:15.678,1,,False,,False,True
0 days 00:26:54.706000,RIC,3,0 days 00:01:16.537000,8.0,1.0,,,0 days 00:00:20.084000,0 days 00:00:35.679000,0 days 00:00:20.774000,0 days 00:25:58.253000,0 days 00:26:33.932000,0 days 00:26:54.706000,211.0,190.0,269.0,280.0,True,HARD,8.0,True,McLaren,0 days 00:25:38.169000,2021-05-20 09:40:38.177,1,,False,,False,True
0 days 00:28:22.493000,RIC,3,0 days 00:01:27.787000,9.0,1.0,,,0 days 00:00:22.086000,0 days 00:00:37.656000,0 days 00:00:28.045000,0 days 00:27:16.792000,0 days 00:27:54.448000,0 days 00:28:22.493000,199.0,183.0,265.0,266.0,False,HARD,9.0,True,McLaren,0 days 00:26:54.706000,2021-05-20 09:41:54.714,1,,False,,False,True
0 days 00:29:41.854000,RIC,3,0 days 00:01:19.361000,10.0,1.0,,,0 days 00:00:20.151000,0 days 00:00:37.849000,0 days 00:00:21.361000,0 days 00:28:42.644000,0 days 00:29:20.493000,0 days 00:29:41.854000,205.0,183.0,267.0,263.0,False,HARD,10.0,True,McLaren,0 days 00:28:22.493000,2021-05-20 09:43:22.501,1,,False,,False,True
0 days 00:30:57.153000,RIC,3,0 days 00:01:15.299000,11.0,1.0,,,0 days 00:00:19.763000,0 days 00:00:35.344000,0 days 00:00:20.192000,0 days 00:30:01.617000,0 days 00:30:36.961000,0 days 00:30:57.153000,213.0,196.0,268.0,280.0,True,HARD,11.0,True,McLaren,0 days 00:29:41.854000,2021-05-20 09:44:41.862,1,,False,,False,True
0 days 00:32:17.448000,RIC,3,0 days 00:01:20.295000,12.0,1.0,,,0 days 00:00:21.217000,0 days 00:00:37.933000,0 days 00:00:21.145000,0 days 00:31:18.370000,0 days 00:31:56.303000,0 days 00:32:17.448000,189.0,187.0,266.0,265.0,False,HARD,12.0,True,McLaren,0 days 00:30:57.153000,2021-05-20 09:45:57.161,1,,False,,False,True
0 days 00:42:30.466000,RIC,3,,13.0,1.0,,0 days 00:33:31.049000,0 days 00:00:19.815000,0 days 00:00:37.148000,,0 days 00:32:37.327000,0 days 00:33:14.411000,,207.0,164.0,,279.0,False,HARD,13.0,True,McLaren,0 days 00:32:17.448000,2021-05-20 09:47:17.456,1267,,False,,False,False
0 days 00:43:59.149000,RIC,3,0 days 00:01:28.683000,14.0,2.0,0 days 00:42:31.234000,,0 days 00:00:28.176000,0 days 00:00:38.262000,0 days 00:00:22.245000,0 days 00:42:58.642000,0 days 00:43:36.904000,0 days 00:43:59.149000,178.0,183.0,264.0,263.0,False,MEDIUM,1.0,True,McLaren,0 days 00:42:30.466000,2021-05-20 09:57:30.474,1,,False,,False,False
0 days 00:45:15.503000,RIC,3,0 days 00:01:16.354000,15.0,2.0,,,0 days 00:00:20.241000,0 days 00:00:35.725000,0 days 00:00:20.388000,0 days 00:44:19.390000,0 days 00:44:55.115000,0 days 00:45:15.503000,205.0,190.0,266.0,276.0,False,MEDIUM,2.0,True,McLaren,0 days 00:43:59.149000,2021-05-20 09:58:59.157,1,,False,,False,True
0 days 00:46:30.579000,RIC,3,0 days 00:01:15.076000,16.0,2.0,,,0 days 00:00:19.736000,0 days 00:00:35.223000,0 days 00:00:20.117000,0 days 00:45:35.239000,0 days 00:46:10.462000,0 days 00:46:30.579000,212.0,196.0,266.0,277.0,True,MEDIUM,3.0,True,McLaren,0 days 00:45:15.503000,2021-05-20 10:00:15.511,12,,False,,False,True
0 days 00:53:36.445000,RIC,3,,17.0,2.0,,0 days 00:47:41.538000,0 days 00:00:19.765000,0 days 00:00:35.500000,,0 days 00:46:50.420000,0 days 00:47:25.871000,,213.0,188.0,,278.0,False,MEDIUM,4.0,True,McLaren,0 days 00:46:30.579000,2021-05-20 10:01:30.587,1,,False,,False,False
0 days 00:55:04.321000,RIC,3,0 days 00:01:27.876000,18.0,3.0,0 days 00:53:37.184000,,0 days 00:00:28.598000,0 days 00:00:37.911000,0 days 00:00:21.367000,0 days 00:54:05.043000,0 days 00:54:42.954000,0 days 00:55:04.321000,190.0,186.0,264.0,254.0,False,MEDIUM,5.0,False,McLaren,0 days 00:53:36.445000,2021-05-20 10:08:36.453,12,,False,,False,False
0 days 00:56:21.837000,RIC,3,0 days 00:01:17.516000,19.0,3.0,,,0 days 00:00:19.726000,0 days 00:00:35.193000,0 days 00:00:22.597000,0 days 00:55:24.047000,0 days 00:55:59.240000,0 days 00:56:21.837000,211.0,195.0,263.0,277.0,False,MEDIUM,6.0,False,McLaren,0 days 00:55:04.321000,2021-05-20 10:10:04.329,1,,False,,False,True
0 days 00:57:40.849000,RIC,3,0 days 00:01:19.012000,20.0,3.0,,,0 days 00:00:19.697000,0 days 00:00:35.158000,0 days 00:00:24.157000,0 days 00:56:41.534000,0 days 00:57:16.692000,0 days 00:57:40.849000,,197.0,264.0,278.0,False,MEDIUM,7.0,False,McLaren,0 days 00:56:21.837000,2021-05-20 10:11:21.845,1,,False,,False,True
0 days 00:58:55.312000,RIC,3,0 days 00:01:14.463000,21.0,3.0,,,0 days 00:00:19.687000,0 days 00:00:34.923000,0 days 00:00:19.853000,0 days 00:58:00.536000,0 days 00:58:35.459000,0 days 00:58:55.312000,,197.0,267.0,279.0,True,MEDIUM,8.0,False,McLaren,0 days 00:57:40.849000,2021-05-20 10:12:40.857,12,,False,,False,True
0 days 01:00:15.339000,RIC,3,0 days 00:01:20.027000,22.0,3.0,,,0 days 00:00:21.222000,0 days 00:00:37.659000,0 days 00:00:21.146000,0 days 00:59:16.534000,0 days 00:59:54.193000,0 days 01:00:15.339000,194.0,187.0,267.0,258.0,False,MEDIUM,9.0,False,McLaren,0 days 00:58:55.312000,2021-05-20 10:13:55.320,1,,False,,False,True
0 days 01:01:30.163000,RIC,3,0 days 00:01:14.824000,23.0,3.0,,,0 days 00:00:19.597000,0 days 00:00:35.095000,0 days 00:00:20.132000,0 days 01:00:34.936000,0 days 01:01:10.031000,0 days 01:01:30.163000,211.0,199.0,264.0,278.0,False,MEDIUM,10.0,False,McLaren,0 days 01:00:15.339000,2021-05-20 10:15:15.347,1,,False,,False,True
0 days 01:02:51.274000,RIC,3,0 days 00:01:21.111000,24.0,3.0,,,0 days 00:00:21.265000,0 days 00:00:38.496000,0 days 00:00:21.350000,0 days 01:01:51.428000,0 days 01:02:29.924000,0 days 01:02:51.274000,194.0,182.0,265.0,257.0,False,MEDIUM,11.0,False,McLaren,0 days 01:01:30.163000,2021-05-20 10:16:30.171,1,,False,,False,True
0 days 01:04:05.833000,RIC,3,0 days 00:01:14.559000,25.0,3.0,,,0 days 00:00:19.699000,0 days 00:00:34.954000,0 days 00:00:19.906000,0 days 01:03:10.973000,0 days 01:03:45.927000,0 days 01:04:05.833000,209.0,198.0,267.0,277.0,False,MEDIUM,12.0,False,McLaren,0 days 01:02:51.274000,2021-05-20 10:17:51.282,1,,False,,False,True
0 days 01:05:20.114000,RIC,3,0 days 00:01:14.281000,26.0,3.0,,,0 days 00:00:19.513000,0 days 00:00:34.983000,0 days 00:00:19.785000,0 days 01:04:25.346000,0 days 01:05:00.329000,0 days 01:05:20.114000,214.0,199.0,267.0,278.0,True,MEDIUM,13.0,False,McLaren,0 days 01:04:05.833000,2021-05-20 10:19:05.841,1,,False,,False,True
0 days 01:06:45.806000,RIC,3,0 days 00:01:25.692000,27.0,3.0,,,0 days 00:00:20.822000,0 days 00:00:39.236000,0 days 00:00:25.634000,0 days 01:05:40.936000,0 days 01:06:20.172000,0 days 01:06:45.806000,187.0,90.0,267.0,263.0,False,MEDIUM,14.0,False,McLaren,0 days 01:05:20.114000,2021-05-20 10:20:20.122,1,,False,,False,True
0 days 01:08:05.410000,RIC,3,0 days 00:01:19.604000,28.0,3.0,,,0 days 00:00:19.771000,0 days 00:00:39.013000,0 days 00:00:20.820000,0 days 01:07:05.577000,0 days 01:07:44.590000,0 days 01:08:05.410000,199.0,181.0,264.0,264.0,False,MEDIUM,15.0,False,McLaren,0 days 01:06:45.806000,2021-05-20 10:21:45.814,1,,False,,False,True
0 days 01:09:21.904000,RIC,3,0 days 00:01:16.494000,29.0,3.0,,,0 days 00:00:19.921000,0 days 00:00:36.256000,0 days 00:00:20.317000,0 days 01:08:25.331000,0 days 01:09:01.587000,0 days 01:09:21.904000,208.0,194.0,264.0,276.0,False,MEDIUM,16.0,False,McLaren,0 days 01:08:05.410000,2021-05-20 10:23:05.418,1,,False,,False,True
0 days 01:10:37.858000,RIC,3,0 days 00:01:15.954000,30.0,3.0,,,0 days 00:00:19.843000,0 days 00:00:35.642000,0 days 00:00:20.469000,0 days 01:09:41.747000,0 days 01:10:17.389000,0 days 01:10:37.858000,207.0,185.0,265.0,277.0,False,MEDIUM,17.0,False,McLaren,0 days 01:09:21.904000,2021-05-20 10:24:21.912,1,,False,,False,True
0 days 01:12:04.284000,RIC,3,0 days 00:01:26.426000,31.0,3.0,,,0 days 00:00:21.795000,0 days 00:00:37.994000,0 days 00:00:26.637000,0 days 01:10:59.653000,0 days 01:11:37.647000,0 days 01:12:04.284000,178.0,185.0,258.0,280.0,False,MEDIUM,18.0,False,McLaren,0 days 01:10:37.858000,2021-05-20 10:25:37.866,1,,False,,False,True
0 days 01:13:21.570000,RIC,3,0 days 00:01:17.286000,32.0,3.0,,,0 days 00:00:20.456000,0 days 00:00:35.794000,0 days 00:00:21.036000,0 days 01:12:24.740000,0 days 01:13:00.534000,0 days 01:13:21.570000,199.0,195.0,264.0,278.0,False,MEDIUM,19.0,False,McLaren,0 days 01:12:04.284000,2021-05-20 10:27:04.292,1,,False,,False,True
0 days 01:14:39.434000,RIC,3,0 days 00:01:17.864000,33.0,3.0,,,0 days 00:00:19.998000,0 days 00:00:36.217000,0 days 00:00:21.649000,0 days 01:13:41.568000,0 days 01:14:17.785000,0 days 01:14:39.434000,202.0,192.0,262.0,278.0,False,MEDIUM,20.0,False,McLaren,0 days 01:13:21.570000,2021-05-20 10:28:21.578,1,,False,,False,True
0 days 01:16:00.296000,RIC,3,0 days 00:01:20.862000,34.0,3.0,,,0 days 00:00:20.622000,0 days 00:00:37.295000,0 days 00:00:22.945000,0 days 01:15:00.056000,0 days 01:15:37.351000,0 days 01:16:00.296000,194.0,185.0,261.0,281.0,False,MEDIUM,21.0,False,McLaren,0 days 01:14:39.434000,2021-05-20 10:29:39.442,1,,False,,False,True
0 days 01:18:13.841000,RIC,3,0 days 00:02:13.545000,35.0,3.0,,,0 days 00:00:27.367000,0 days 00:00:43.627000,0 days 00:01:02.551000,0 days 01:16:27.663000,0 days 01:17:11.290000,0 days 01:18:13.841000,129.0,136.0,165.0,238.0,False,MEDIUM,22.0,False,McLaren,0 days 01:16:00.296000,2021-05-20 10:31:00.304,1,,False,,False,True
0 days 01:19:39.714000,RIC,3,,36.0,3.0,,0 days 01:19:39.714000,0 days 00:00:24.671000,0 days 00:00:40.717000,,0 days 01:18:38.520000,0 days 01:19:19.255000,,139.0,147.0,,246.0,False,MEDIUM,23.0,False,McLaren,0 days 01:18:13.841000,2021-05-20 10:33:13.849,1,,False,,False,False
0 days 00:17:49.907000,NOR,4,0 days 00:01:45.935000,1.0,1.0,0 days 00:16:05.170000,,0 days 00:00:33.153000,0 days 00:00:42.109000,0 days 00:00:30.673000,0 days 00:16:37.138000,0 days 00:17:19.271000,0 days 00:17:50.061000,149.0,166.0,247.0,255.0,False,HARD,1.0,True,McLaren,0 days 00:16:05.170000,2021-05-20 09:31:05.178,1,,False,,False,False
0 days 00:19:10.480000,NOR,4,0 days 00:01:20.573000,2.0,1.0,,,0 days 00:00:21.459000,0 days 00:00:37.643000,0 days 00:00:21.471000,0 days 00:18:11.366000,0 days 00:18:49.009000,0 days 00:19:10.480000,188.0,178.0,264.0,276.0,True,HARD,2.0,True,McLaren,0 days 00:17:49.907000,2021-05-20 09:32:49.915,1,,False,,False,True
0 days 00:20:35.754000,NOR,4,0 days 00:01:25.274000,3.0,1.0,,,0 days 00:00:21.808000,0 days 00:00:38.531000,0 days 00:00:24.935000,0 days 00:19:32.288000,0 days 00:20:10.819000,0 days 00:20:35.754000,190.0,168.0,261.0,264.0,False,HARD,3.0,True,McLaren,0 days 00:19:10.480000,2021-05-20 09:34:10.488,1,,False,,False,True
0 days 00:21:52.236000,NOR,4,0 days 00:01:16.482000,4.0,1.0,,,0 days 00:00:20.464000,0 days 00:00:35.714000,0 days 00:00:20.304000,0 days 00:20:56.218000,0 days 00:21:31.932000,0 days 00:21:52.236000,210.0,187.0,264.0,274.0,True,HARD,4.0,True,McLaren,0 days 00:20:35.754000,2021-05-20 09:35:35.762,1,,False,,False,True
0 days 00:23:18.940000,NOR,4,0 days 00:01:26.704000,5.0,1.0,,,0 days 00:00:20.207000,0 days 00:00:38.782000,0 days 00:00:27.715000,0 days 00:22:12.443000,0 days 00:22:51.225000,0 days 00:23:18.940000,206.0,155.0,262.0,263.0,False,HARD,5.0,True,McLaren,0 days 00:21:52.236000,2021-05-20 09:36:52.244,1,,False,,False,True
0 days 00:24:34.592000,NOR,4,0 days 00:01:15.652000,6.0,1.0,,,0 days 00:00:20.062000,0 days 00:00:35.511000,0 days 00:00:20.079000,0 days 00:23:39.002000,0 days 00:24:14.513000,0 days 00:24:34.592000,211.0,186.0,265.0,277.0,True,HARD,6.0,True,McLaren,0 days 00:23:18.940000,2021-05-20 09:38:18.948,1,,False,,False,True
0 days 00:26:03.145000,NOR,4,0 days 00:01:28.553000,7.0,1.0,,,0 days 00:00:20.311000,0 days 00:00:37.399000,0 days 00:00:30.843000,0 days 00:24:54.903000,0 days 00:25:32.302000,0 days 00:26:03.145000,209.0,134.0,262.0,263.0,False,HARD,7.0,True,McLaren,0 days 00:24:34.592000,2021-05-20 09:39:34.600,1,,False,,False,True
0 days 00:27:18.402000,NOR,4,0 days 00:01:15.257000,8.0,1.0,,,0 days 00:00:19.994000,0 days 00:00:35.201000,0 days 00:00:20.062000,0 days 00:26:23.139000,0 days 00:26:58.340000,0 days 00:27:18.402000,211.0,192.0,266.0,276.0,True,HARD,8.0,True,McLaren,0 days 00:26:03.145000,2021-05-20 09:41:03.153,1,,False,,False,True
0 days 00:41:19.632000,NOR,4,,9.0,1.0,,0 days 00:28:32.974000,0 days 00:00:20.640000,0 days 00:00:37.645000,,0 days 00:27:39.056000,0 days 00:28:16.702000,,189.0,177.0,,261.0,False,HARD,9.0,True,McLaren,0 days 00:27:18.402000,2021-05-20 09:42:18.410,1267,,False,,False,False
0 days 00:42:52.943000,NOR,4,0 days 00:01:33.311000,10.0,2.0,0 days 00:41:20.385000,,0 days 00:00:27.183000,0 days 00:00:42.612000,0 days 00:00:23.516000,0 days 00:41:46.815000,0 days 00:42:29.427000,0 days 00:42:52.943000,185.0,172.0,264.0,240.0,False,MEDIUM,1.0,True,McLaren,0 days 00:41:19.632000,2021-05-20 09:56:19.640,1,,False,,False,False
0 days 00:44:06.894000,NOR,4,0 days 00:01:13.951000,11.0,2.0,,,0 days 00:00:19.571000,0 days 00:00:34.726000,0 days 00:00:19.654000,0 days 00:43:12.514000,0 days 00:43:47.240000,0 days 00:44:06.894000,217.0,192.0,267.0,276.0,True,MEDIUM,2.0,True,McLaren,0 days 00:42:52.943000,2021-05-20 09:57:52.951,1,,False,,False,True
0 days 00:45:40.455000,NOR,4,0 days 00:01:33.561000,12.0,2.0,,,0 days 00:00:22.613000,0 days 00:00:44.628000,0 days 00:00:26.320000,0 days 00:44:29.507000,0 days 00:45:14.135000,0 days 00:45:40.455000,160.0,123.0,258.0,239.0,False,MEDIUM,3.0,True,McLaren,0 days 00:44:06.894000,2021-05-20 09:59:06.902,12,,False,,False,True
0 days 00:47:03.571000,NOR,4,0 days 00:01:23.116000,13.0,2.0,,,0 days 00:00:22.072000,0 days 00:00:38.545000,0 days 00:00:22.499000,0 days 00:46:02.527000,0 days 00:46:41.072000,0 days 00:47:03.571000,181.0,165.0,266.0,258.0,False,MEDIUM,4.0,True,McLaren,0 days 00:45:40.455000,2021-05-20 10:00:40.463,21,,False,,False,True
0 days 00:48:17.385000,NOR,4,0 days 00:01:13.814000,14.0,2.0,,,0 days 00:00:19.551000,0 days 00:00:34.573000,0 days 00:00:19.690000,0 days 00:47:23.122000,0 days 00:47:57.695000,0 days 00:48:17.385000,215.0,194.0,268.0,276.0,True,MEDIUM,5.0,True,McLaren,0 days 00:47:03.571000,2021-05-20 10:02:03.579,1,,False,,False,True
0 days 00:49:44.114000,NOR,4,0 days 00:01:26.729000,15.0,2.0,,,0 days 00:00:21.717000,0 days 00:00:39.723000,0 days 00:00:25.289000,0 days 00:48:39.102000,0 days 00:49:18.825000,0 days 00:49:44.114000,199.0,148.0,265.0,264.0,False,MEDIUM,6.0,True,McLaren,0 days 00:48:17.385000,2021-05-20 10:03:17.393,1,,False,,False,True
0 days 00:50:57.350000,NOR,4,0 days 00:01:13.236000,16.0,2.0,,,0 days 00:00:19.283000,0 days 00:00:34.422000,0 days 00:00:19.531000,0 days 00:50:03.397000,0 days 00:50:37.819000,0 days 00:50:57.350000,216.0,194.0,266.0,276.0,True,MEDIUM,7.0,True,McLaren,0 days 00:49:44.114000,2021-05-20 10:04:44.122,1,,False,,False,True
0 days 00:52:27.268000,NOR,4,0 days 00:01:29.918000,17.0,2.0,,,0 days 00:00:20.898000,0 days 00:00:43.372000,0 days 00:00:25.648000,0 days 00:51:18.248000,0 days 00:52:01.620000,0 days 00:52:27.268000,190.0,120.0,265.0,222.0,False,MEDIUM,8.0,True,McLaren,0 days 00:50:57.350000,2021-05-20 10:05:57.358,1,,False,,False,True
0 days 00:53:40.694000,NOR,4,0 days 00:01:13.426000,18.0,2.0,,,0 days 00:00:19.378000,0 days 00:00:34.477000,0 days 00:00:19.571000,0 days 00:52:46.646000,0 days 00:53:21.123000,0 days 00:53:40.694000,215.0,197.0,272.0,279.0,False,MEDIUM,9.0,True,McLaren,0 days 00:52:27.268000,2021-05-20 10:07:27.276,1,,False,,False,True
0 days 00:55:18.730000,NOR,4,0 days 00:01:38.036000,19.0,2.0,,,0 days 00:00:26.374000,0 days 00:00:44.027000,0 days 00:00:27.635000,0 days 00:54:07.068000,0 days 00:54:51.095000,0 days 00:55:18.730000,178.0,146.0,268.0,257.0,False,MEDIUM,10.0,True,McLaren,0 days 00:53:40.694000,2021-05-20 10:08:40.702,12,,False,,False,True
0 days 00:56:33.266000,NOR,4,0 days 00:01:14.536000,20.0,2.0,,,0 days 00:00:19.337000,0 days 00:00:35.695000,0 days 00:00:19.504000,0 days 00:55:38.067000,0 days 00:56:13.762000,0 days 00:56:33.266000,210.0,195.0,268.0,274.0,False,MEDIUM,11.0,True,McLaren,0 days 00:55:18.730000,2021-05-20 10:10:18.738,1,,False,,False,True
0 days 01:04:54.826000,NOR,4,,21.0,2.0,,0 days 00:57:50.038000,0 days 00:00:21.581000,0 days 00:00:39.835000,,0 days 00:56:56.055000,0 days 00:57:34.695000,,193.0,176.0,,258.0,False,MEDIUM,12.0,True,McLaren,0 days 00:56:33.266000,2021-05-20 10:11:33.274,12,,False,,False,False
0 days 01:06:14.856000,NOR,4,0 days 00:01:20.030000,22.0,3.0,0 days 01:04:56.777000,,0 days 00:00:23.521000,0 days 00:00:36.447000,0 days 00:00:20.062000,0 days 01:05:18.347000,0 days 01:05:54.794000,0 days 01:06:14.856000,197.0,191.0,261.0,273.0,False,MEDIUM,13.0,False,McLaren,0 days 01:04:54.826000,2021-05-20 10:19:54.834,1,,False,,False,False
0 days 01:07:29.623000,NOR,4,0 days 00:01:14.767000,23.0,3.0,,,0 days 00:00:19.677000,0 days 00:00:35.105000,0 days 00:00:19.985000,0 days 01:06:34.533000,0 days 01:07:09.638000,0 days 01:07:29.623000,210.0,192.0,258.0,276.0,False,MEDIUM,14.0,False,McLaren,0 days 01:06:14.856000,2021-05-20 10:21:14.864,1,,False,,False,True
0 days 01:08:46.596000,NOR,4,0 days 00:01:16.973000,24.0,3.0,,,0 days 00:00:19.662000,0 days 00:00:35.065000,0 days 00:00:22.246000,0 days 01:07:49.285000,0 days 01:08:24.350000,0 days 01:08:46.596000,209.0,193.0,256.0,276.0,False,MEDIUM,15.0,False,McLaren,0 days 01:07:29.623000,2021-05-20 10:22:29.631,1,,False,,False,True
0 days 01:10:01.413000,NOR,4,0 days 00:01:14.817000,25.0,3.0,,,0 days 00:00:19.755000,0 days 00:00:35.046000,0 days 00:00:20.016000,0 days 01:09:06.351000,0 days 01:09:41.397000,0 days 01:10:01.413000,,193.0,263.0,275.0,False,MEDIUM,16.0,False,McLaren,0 days 01:08:46.596000,2021-05-20 10:23:46.604,1,,False,,False,True
0 days 01:11:17.031000,NOR,4,0 days 00:01:15.618000,26.0,3.0,,,0 days 00:00:19.817000,0 days 00:00:35.421000,0 days 00:00:20.380000,0 days 01:10:21.230000,0 days 01:10:56.651000,0 days 01:11:17.031000,206.0,188.0,268.0,278.0,False,MEDIUM,17.0,False,McLaren,0 days 01:10:01.413000,2021-05-20 10:25:01.421,1,,False,,False,True
0 days 01:12:33.429000,NOR,4,0 days 00:01:16.398000,27.0,3.0,,,0 days 00:00:19.996000,0 days 00:00:35.743000,0 days 00:00:20.659000,0 days 01:11:37.027000,0 days 01:12:12.770000,0 days 01:12:33.429000,205.0,191.0,261.0,279.0,False,MEDIUM,18.0,False,McLaren,0 days 01:11:17.031000,2021-05-20 10:26:17.039,1,,False,,False,True
0 days 01:13:51.065000,NOR,4,0 days 00:01:17.636000,28.0,3.0,,,0 days 00:00:20.276000,0 days 00:00:36.619000,0 days 00:00:20.741000,0 days 01:12:53.705000,0 days 01:13:30.324000,0 days 01:13:51.065000,192.0,190.0,267.0,280.0,False,MEDIUM,19.0,False,McLaren,0 days 01:12:33.429000,2021-05-20 10:27:33.437,1,,False,,False,True
0 days 01:15:08.855000,NOR,4,0 days 00:01:17.790000,29.0,3.0,,,0 days 00:00:20.204000,0 days 00:00:36.560000,0 days 00:00:21.026000,0 days 01:14:11.269000,0 days 01:14:47.829000,0 days 01:15:08.855000,197.0,185.0,261.0,279.0,False,MEDIUM,20.0,False,McLaren,0 days 01:13:51.065000,2021-05-20 10:28:51.073,1,,False,,False,True
0 days 01:17:24.625000,NOR,4,0 days 00:02:15.770000,30.0,3.0,,,0 days 00:00:27.484000,0 days 00:00:47.101000,0 days 00:01:01.185000,0 days 01:15:36.339000,0 days 01:16:23.440000,0 days 01:17:24.625000,158.0,91.0,6.0,182.0,False,MEDIUM,21.0,False,McLaren,0 days 01:15:08.855000,2021-05-20 10:30:08.863,1,,False,,False,True
0 days 01:19:05.773000,NOR,4,,31.0,3.0,,0 days 01:19:05.773000,0 days 00:00:32.114000,0 days 00:00:46.844000,,0 days 01:17:56.698000,0 days 01:18:43.607000,,115.0,128.0,,230.0,False,MEDIUM,22.0,False,McLaren,0 days 01:17:24.625000,2021-05-20 10:32:24.633,1,,False,,False,False
0 days 00:18:01.550000,VET,5,0 days 00:01:39.703000,1.0,1.0,0 days 00:16:23.286000,,0 days 00:00:32.377000,0 days 00:00:40.731000,0 days 00:00:26.595000,0 days 00:16:54.334000,0 days 00:17:35,0 days 00:18:02.555000,151.0,167.0,259.0,261.0,False,HARD,1.0,True,Aston Martin,0 days 00:16:23.286000,2021-05-20 09:31:23.294,1,,False,,False,False
0 days 00:19:21.563000,VET,5,0 days 00:01:20.013000,2.0,1.0,,,0 days 00:00:21.514000,0 days 00:00:37.135000,0 days 00:00:21.364000,0 days 00:18:23.064000,0 days 00:19:00.199000,0 days 00:19:21.563000,190.0,185.0,265.0,275.0,True,HARD,2.0,True,Aston Martin,0 days 00:18:01.550000,2021-05-20 09:33:01.558,1,,False,,False,True
0 days 00:20:47.396000,VET,5,0 days 00:01:25.833000,3.0,1.0,,,0 days 00:00:20.851000,0 days 00:00:37.033000,0 days 00:00:27.949000,0 days 00:19:42.414000,0 days 00:20:19.447000,0 days 00:20:47.396000,185.0,188.0,262.0,278.0,False,HARD,3.0,True,Aston Martin,0 days 00:19:21.563000,2021-05-20 09:34:21.571,1,,False,,False,True
0 days 00:22:04.761000,VET,5,0 days 00:01:17.365000,4.0,1.0,,,0 days 00:00:20.560000,0 days 00:00:36.348000,0 days 00:00:20.457000,0 days 00:21:07.956000,0 days 00:21:44.304000,0 days 00:22:04.761000,197.0,190.0,265.0,279.0,True,HARD,4.0,True,Aston Martin,0 days 00:20:47.396000,2021-05-20 09:35:47.404,1,,False,,False,True
